Label,Text
aggressive,দেশের সব জায়গায় রাজনীতি ঢুকিয়ে দিয়ে দেশটাকে ধ্বংস করে দেয়া হচ্ছে। এজন্য দেশে মূল রাজনৈতিক সংগঠনের বাইরে আর কোন সংগঠন থাকা চলবে না।
aggressive,আমিও মোচলমান
aggressive,হিন্দুরাই বেশি হিংসা ছড়ায়। যতো অশান্তির মূলে এরাই।
aggressive,তুমি তোমার নানির পুটকি পাকা বাল#যত্তসব_ফাটা_কনডমের_প্রডাক্ট
aggressive,ভিডিও চোদাইসে কোন খানকির পোলায়
aggressive,অন‍্যায় বি এন পি ও করেছে আওয়ামীলীগ ও করছে নীরহ মানুষগুলো ভুগছে অযথাই।
aggressive,কিভাবে হেফাজত শেখ হাসিনাকে সাপোর্ট করে আমার মাথায় ধরে না
aggressive,তর বাপের ধন দিয়া ডাংগুলি খেলুম।
aggressive,তোদের হিন্দু সম্প্রদায়ের ওয়ালে হিসু তো দূরের কথা হাগু ও করতে যাবার মন করেনা আমার কারন আমি আমার ইসলাম এ আনন্দিত ও খুশি । তোরা হিন্দু সম্প্রদায়ের মালুয়া রা আমাদের ইসলাম এর ওয়ালে কি করিস হে ???
aggressive,পৃথিবীর মাঝে সবচেয়ে অভদ্র আর জানয়ার বলতে একটা দেশই রয়েছে তার নাম পাকিস্তান আর বাংগালী এক জানয়ার কমেন্টে লিখেছে টাকা ফেরত দিতে এইহল আমাদের বাংলাদেশ আর রাজাকার তবে আমার মতে যারা পাকিদের সুরে গানগায় তাদের পাকিস্তান চলে যাওয়া উচিত আমরা বিরেরজাতি হারতে শিখিনী বিজয়ী হয়েছি সেটাও যানা আছে তাদের সেই সাহস নেই টাকা চাওয়ার কুত্তা শুধূ ঘৈও ঘৈও ই করতে যানে আর কুত্তাকে কিভাবে ঔষদ দিতে হয় ভাঙালিরা যানে
aggressive,এই দেশে সরকারি লোক কোন অপরাদ করলে তার কোন বিচার হয় না কেন তারা কি অইনের উদেদ তাদের কে সাময়িক পততেহার করে না কেন
aggressive,"আরে খানকি মাগী তোরা তো নিজের মা, খালা, মাসি, পিসি, বোন, বৌদি কাউকে বাদ রাখিস না চুদতে, আর তোদের মহিলারাও চরম মাগীবাজ। তোদের পূর্বপুরুষ আর মহিলারা ব্রিটিশদের সেবা করত, আর সে জন্য তোরা হয়েছিস। তোদের মহিলারা তো বাড়া পেলে আর ছাড়ে না। পুরো চুষে ছাড়ে"
aggressive,আওয়ামীলিগ 75% লোক রাজাকার আপনার মুক্তি যোদ্ধার বিরোধী শাহজাহান উনাকে ফাঁসি দেওয়া হোক
aggressive,আমি অবাক হয়ে গেলাম বি এন পির করমি যত গুলা পুলিশ তত গুলা আমার মনে সারা বাংলাদেশে থিকে পুলিশ এনেছে সরকার তাও আবার পুলিশের হাতে বন্দুক ফায়ার করার জন্য প্রস্তুত হয়ে রয়ছে সালার কোন দেশে বসবাস করি
aggressive,আসুন আওয়ামী লীগ সরকার শেখ হাসিনা কে বয়কট করি। আসুন খুনি হাসিনা কে বর্জন করি।
aggressive,"ইসলাম কেমন ধর্ম, যার প্রবর্তকের এতগুলো স্ত্রী থাকা সত্ত্বেও তাকে আরো ৩ জন যৌনদাসী বা রক্ষিতা রাখতে হতো ?"
aggressive,"তাহলে কি?হিন্দুদের বাচ্চা হয়,পাচা দিয়ে। মুসলমান খায় গরুর দুধ,হিন্দুরা খায় গরুর মুত। আর,যেসব হিন্দুরা দাড়ি রাখে তারা কি?। যুক্তি দেওয়ার আগে ভেবে নিস।"
aggressive,"শুয়োরের  বাচ্চা  গুলো  ডেমনার জাত 	"
aggressive,"ইসলাম মানুষত্বের বিরুদ্ধে রয়েছে ইসলাম মানুষকে কাফির, মুশফিক, নাস্তিক হিসাবে দেখে , ইসলাম কোনো মানুষের শুদ্ধ ধর্ম হতেই পারেনা ,"
aggressive,"তুমি কিছুই কর নাই তুমিত পেরেস্তা, তুমার পিতা আওয়ামিলীগের পিতা হলেও তুমি কিন্তু আওয়ামিলীগের মা, তুমি কওমী জননী, বাংলাদেশের লক্ষ লক্ষ সোনার ছেলেদের যাদের মধ্যে রয়েছে দুর্নীতিবাজ, চুর, ডাকাত, খুনি, পাঁপীয়ার মত পতিতা, ধর্ষক ইত্যাদি তুমিতো এগুলো সবার মা। তুমিত আবার আইরন লেডি। তুমি কিভাবে অন্যায় করতে পারো আমার মাথায় আসে না।"
aggressive,"টাকা পেলে মানুষ কতটা বদলে যেতে পারে রানা মন্ডল বলেচে তার জুতা দিয়া পিটানো দরকার	"
aggressive,গোপালগঞ্জ ও ফরিদপুর সব চেয়ে বেশি রাজাকার ।আওয়ামীলীগের মধ্যে রাজাকার বেশি ।
aggressive,"এদেশে সেইদিন ধর্ষণ বন্ধ হবে,, যেদিন প্রধানমন্ত্রী নিজে ধর্ষিত হবে"
aggressive,"একদিকে চিল্লাবে যে নাস্তিকের কেন ইসলাম নিয়ে এত চুলকানি, অন্যদিকে সারাদিন এরা নারীবাদী,সেকুলারদের নিয়ে পড়ে থাকবে,ওদের ভুল খুজতে থাকবে, সেকুলারদের পোস্ট রিপোর্ট করে নামিয়ে দিবে।"
aggressive,কুরআন নাজিল হুচে শুয়রের পুটকি থেেক
aggressive,ভারতের গোলাম হাসিনাকে না বলুল
aggressive,"মাদ্রাসা শিক্ষা ব্যবস্থা নিয়ে তোদের নাস্তিক দের এতো এনার্জি কেন আমার বুঝে আসে না,"
aggressive,রাম তো তদের মা দুরগার দুদু খাইছিল।আর কালি কিশ্নের আনডার পেন চুরি করত।তরাই তার ভক্ত হলি ।
aggressive,"বিজরমা খানকির পুত জোনাএদ পাইলে তুরে এক রানো, পারাদিয়া,আরেক,রান টান দিয়া,পাইরা লাইতাম,নডির পোলা"
aggressive,গুন্ডা মাস্তান ছাড়া বাংলাদেশে রাজনীতি করা সম্ভব না। এটা চিরন্তন সত্য
aggressive,মালাউন কা বাচ্চা কাভি নেহি আচ্ছা ও ভি সাচ্ছা ও তো শুয়োর কা বাচ্চা
aggressive,খানকির  ছেলে  ওকে  বলার  আগে  তুই  সব  চেয়ে  বড় খানকির ছেলে .. শুয়োরের  বাচ্চা  নিজে  তো গেছিস  থাপড়ানোর  জন্য .. অপেক্ষা  কর  রিপোর্ট  মারছি ..
aggressive,মুত্তি পুজা তো হারাম। এটা কি কোন ধর্মের কাতারে পরে নাকি। গরুর মুত খায। যতো সব পাগল ছাগলের কাজ।
aggressive,"মুসলমানরা তোরে পিটাইয়া গঙ্গা নদীতে ফালাইবো । তাও বাংলাদেশের গঙ্গা নদী না , ভারতের গঙ্গা নদীতে ‌। হিন্দুরা বালের পূর্বপুরুষ । মোহাম্মদ সাঃ এর কথা কস , মাদারচোদ"
aggressive,কটা কথা বলি সেটা হলো মুর্তি পুজা করিস তোরা ভালো কথা কিন্তু যে মর্তি কে পুজা করিশ সে তো নিজেকে রক্ষা করতে পারে না ঝর বাতাসে ভেঙে যায় আবার তো পুজা করে লাওি দিয়ে ফেলে দিস কিছু কিছু গ্রামের মন্দিরে দেখা যায় কুওা হিসু করছে।
aggressive,"শালা মূর্তি পূজারী, শিবের ধনেরর পূজারি"
aggressive,আওয়ামিলিগের পুলিশ সারা কনো সংগঠন আর নাই তেগি নেতারা আর কেও আওয়ামিলীগের সাথে নায়
aggressive,"মদিনার ইসলাম আর মডারেট ইসলাম।
কত পার্থক্য করেছি আমরা। মুর্তি পাহারা দেয়ার পক্ষে কথা বলতে একটুও কলিজা কাঁপেনা?"
aggressive,আমাদের মুসলিমদের মধ্যে কিছু জারজ আছে নামে মুসলিম কাজে মুনাফিক তাদের ঈমানের বিন্দু মাত্রনেই কারন ধর্মে তাদের বাপ দাদার কাছ থেকে পেয়েছে। ইসলাম তাদের ধর্ম  কিন্তু ইসলাম ধর্মের দায়িত্ববোধ কি তআ জানা দুরে থাক ইসলাম অর্থ জানে না বড় দুঃখের বিষয় এরা নিজের মুসলিমদের অন্তর্ভুক্ত দাবি করে তদের মুখে আগু দেওয়া ছাড়া কিছু করার নেই।প্রতিবাদ করার ক্ষমতা নেই অন্তত মন থেকে তাদের ঘৃনা কর তা না করে সমালোচনা করে যা প্রমান করে মালাউনদের প্রতি ভালবাসা মুসলিমদের প্রতি নয়।এরা মালাউনদের দের ছেয়ে কম নয় বো
aggressive,তরে গোআ দিয়া চুদামু
aggressive,কলম দিয়ে অলরেডি সংবিধানে লেখে ফেলছি।এখন যদি কোনো মালাউন এটা মুছার চেষ্টা করে তবে তার রক্ত দিয়ে রাস্তা কালার করব।
aggressive,"আওয়ামী লীগ আর বিএনপি আর চাইনা। নুরকে ভবিষ্যৎ প্রধান মন্ত্রী হিসেবে দেখতে চাই। আওয়ামী লীগ আর বিএনপি আমাদের মতো সাধারণ মানুষকে পেয়ে বসেছে। সব সালারাই চোর।নুর কে চাই, নুর ইজ বেস্ট।।।"
aggressive,"আওয়ামি লীগ মানেই হলো রাজাকারের বংশধর।  স্বাধীনতা যুদ্ধের সময় কোনো আওয়ামী খানকির পোলা যুদ্ধে অংশ গ্রহন করে নাই, আর যুদ্ধের পরে মাদারের বাচ্চারা আসছো রাজাকার চিহ্নিত করতে।"
aggressive,আপনাদের জাকির নায়েক বেদের কয়েকটি শ্লোককে কাটছাট করে উপস্থাপন করে তার ভুল ব্যাখ্যা দিয়ে বলল যে বেদে নাকি মুহাম্মদ ও আল্লাহ আছে।কি হাস্যকর
aggressive,"ইসলাম পুরো মানব সমাজের জন্য খতরা, ১৪০০ বছরে নিরিহ মানুষের অনেক ক্ষতি করেছে জঙ্গিরা, এবার এই জেহাদি ইসলামের ধ্বংস চাই ,, ধিঃ"
aggressive,আওয়ামিলীগ এর অপর নাম চোরলীগ।
aggressive,"জামায়াত শিবিরের বি,এন,পির উপর ভর করে চলে না , বাংলাদেশ জামায়াতে ইসলামী জিন্দাবাদ"
aggressive,"মুসলিম বলতেই হারামির জাত, ওদের মধ্যে এইরকম হয় 	"
aggressive,আমার এলাকার ইউনিয়ন পরিষদের ভোট আমার এলাকার এক ছাত্রলীগ বড় ভাই দিয়ে দিয়েছিল তাহলে আমার মত প্রকাশের স্বাধীনতা কথা ভোট অধিকার কথা হাসিনা জবাব দে
aggressive,ভাইজান নির্বাচন দিয়ে লাভ নেই বিএনপি আবার ক্ষমতায় গেলে তার থেকেও ছাড়িয়ে যাবে দুর্নীতি করে।
aggressive,আওয়ামীলীগ আগে করতাম এখন সুদু ঘৃণা করি।।।
aggressive,মন ডা চায় এক সাথে সব দুর্নিতি বাজদের গুষ্টি চুইদা দেই
aggressive,স্বাধীনতার ইতিহাস বিকৃতিই বিএনপির গণতন্ত্র
aggressive,আপনাদের কোরান হাদিসে এই শিক্ষা দেয় যে বিধর্মীদের হত্যা কর।তাহলে আপনিই বলুন আপনার ধর্ম আপনাদের কী শিক্ষা দেয়।ছি ধিক্কার জানাই।আপনার ধর্ম বাদ দিয়ে আপনি একবার শ্রীমদভগবদ গীতা পাঠ করে দেখেন।তারপর আপনিই নিজেই বুঝতে পারবেন শ্রেষ্ঠ ধর্ম কোনটি
aggressive,এতো বড় একটি নিউজ আমাদের দেশের একটি ও টেলিভিশন cover করে নাই! ইন্ডিপেন্ডেন্ট থেকে সময় টিভি সবাই কিন্তু শেখ হাসিনার দখলে।
aggressive,এই মুহুর্তে জামাত-শিবির ক্ষমতায় আসুক কে কে চান? জান বাজী রেখে লড়াই হবে!
aggressive,আমরা কি করি .. তোমাদের ধর্মের মতো আমাদের ধর্ম না... .. তোরা নিজের বোন কে বিবাহ করিস.. ভাগনীকে বিবাহ করিস.. এটা তো কোরানে লেখা আসে.. সব তোমাদের জায়েজ..
aggressive,"এই কুকুরের বাচ্ছা পার্থ একটা বেয়াদব, এ কে জুতা দিয়ে পিটানো দরকার, শুয়োরের বাচ্ছা ।"
aggressive,তোরা চাঁদে যাবি কীভাবে? কোনো মুসলিম দেশ এখন অবধি রকেট টেকনোলজি জানে না ।তোদের আল্লা আবার চাঁদে বসে থাকে ।আল্লার পারমিশন ছাড়া চাঁদে ঢুকবি কী করে?
aggressive,শেখ হাসিনারকে খমতা যুও করারা জন্য জামায়েত বিএনপির গভির যরযনত করিতেছে ইনসাললা মজিব সৈনিক আছে শেখ হাসিনাকে মীরজাফরেরা কিছুই করিতে পারিবেনা
aggressive,আমরা ভারতীয় দালালদের জন্য কোনোরকম দোয়া করিনা। কারন আমরা জানি মালাউন জাত কখনও বিনা স্বার্থে কারো জন্য কিছু করে না। এমন কি নিজের বাপের জন্যও মালাউনরা নিঃস্বার্থভাবে কিছু করতে রাজি না।
aggressive,আওয়ামীলীগের কঠিন শাস্তি বাংলার মাটিতে হবেই ইনশাআল্লাহ!
aggressive,"Dislike দেওয়া মানুষ রা যদি মুসলিম হয়, তাহলে ওরা পুটকি দিয়ে জন্মগ্রহণ করছে😎"
aggressive,এদের নামের আগে দয়া করে মুসলিম এই পবিত্র শব্দ টা ইউজ করবেন না।
aggressive,এই মাদ্রাসা ছাপ মূর্খ ভিকারির বাচ্চার দল একটাই জিনিস বুজে- এদের আল্লা তালা বেহেস্তে ৭২ টা লেংটা হুর নিয়া বইশা আছে।
aggressive,বালের হিন্দু
aggressive,তোদের আবার ধর্ম।এমনীতে জাতপাতে ঠেলায় টিকতে পারিস না। অন্যের হাতে পানি আর খাবার খেলে নাকি অধর্ম হয়।
aggressive,কোন পতিতালয়র পড়াশোনা করেছিস খানকি!
aggressive,আন্ডালিব যে একটা শুয়োরের বাচ্চা ছাড়া আর কিছু না ।
aggressive,"ভারত থেকে মুসলিমদের হঠাতে হবে , না হলে এই দেশটাকে ও ওরা শেষ করে দেবে , ইন্ডিয়াতে অনেক ধর্ম আছে , আমরা সবার সাথে চলতে পারি কিন্তু মুসলিমদের সাথে না"
aggressive,"ইসলামের সচেতন সৈনিক,কুত্তার বাচ্চা, তোদের শিক্ষা নিয়া তোরা তোদের পছন্দের দেশ ফাকিস্তানে যা। সেখানে গিয়া মত প্রকাশ কর, কেউ বাধা দিবে না। বাংলাদেশে থাকলে চোদনের উপ্রেই থাকতে হবে।"
aggressive,বেশ্যা মাগী বাল ফালাইয়া আটি বান
aggressive,হিন্দু ধর্মে ভগবান কয়টা হিন্দুরা নিজেরাই জানে না।
aggressive,তোদের ব্রম নিজের মেয়েকে বিয়ে। ছিঃ। কৃষ্ণ প্রায় ১৭০০০ বিয়ে করেছিলো। ছিঃ ছিঃ নগ্নতা আর নোংরামির ধর্ম।
aggressive,হিন্দু ধর্মগ্রন্থে হিন্দু শব্দ টাই নাই।
aggressive,মাউড়া চোদা
aggressive,নতুন সরকার এসে ভারতের বাল ফালাবে- ভারতের বিরোধিতা আর বিরোধিদের খুন করতে গিয়েইতো দেশের ভালর দিকে নজর দিতে পারেনা ঐ বদমাইশ বিএনপি জামাত। তাই বার বার দুর্নীতির বিশ্বচ্যাম্পিয়ন বানায় দেশকে।
aggressive,বেহায়া নির্লজ্জ স্বরাষ্ট্রমন্ত্রীর তোর একটু শরম থাকলে তুই আজকেই পদত্যাগ কর
aggressive,"বিএনপি এর দুর্নীতির আমল নামা প্রকাশ পায় ক্ষমতা হারানোর পর. ঠিক তেমনই আওয়ামী লীগের দুর্নীতি প্রকাশ পাবে ক্ষমতা হারালে. ক্ষমতা থাকাকালীন সময়ে তো শেয়ার বাজার লুট, ব্যাংক ডাকাতি, রিজার্ভ চুরি এর তথ্য প্রকাশ পায়. না জানি ক্ষমতা হারালে কি হয়?"
aggressive,কী প্রদীপ বাবু? আল্লাহ্ আছেন? এখন যে রাজহংসের বড় ডিম পিছন দিয়ে ঢুকবে। ফাঁটবে না?
aggressive,"ইসলাম যদিও এরা দাবি করে এরা শান্তির ধর্মের অনুসারি,তথাপি দুনিয়ার সকল অশান্তি বেশিরভাগ এদের দ্বারা সৃষ্টি।"
aggressive,"তার মানে তুমি তোমার নবীজির জীবন কাহিনী কিছুই জানোনা, লোকটাকে না জেনেই মাথায় তুলে নাচছো. অবশ্য ঠিকই, যারা ঐ নরাধম নরকের কীটটার জীবনী কিছুই জানেনা সেইসব অশিক্ষিত লোকেরাই মালটাকে নবী মানে, যারা ওই জানোয়ারটার প্রকৃত সত্যিটা জানে তারা ঘেন্নায় ওর নামে কুকুর পোষে"
aggressive,এই খানকির পোলা মানুষ না ওর মা মনে হয় কোন জীব জন্তুর সাথে মিলামিশা করে এঁকে জন্ম দিয়েছে
aggressive,হায়রে জানোয়ার লীগ
aggressive,রানু মন্ডল এর  নাম  শুনলে  বমি  উঠে  আসে
aggressive,বিএনপি হলো ফালতু দল
aggressive,"আরে বাইনচুদ তোর মারে আজকা চুদুম,, তুই আজ বাড়িতে থাকলে ও অন্য জায়গায় থাকিস,,কারন তোর মা বোনরে চুদিম,,,"
aggressive,আইয়ূব এর সাথে জিয়া তুলনা!! বেশ বেশ!!  সৈরাচার সৈরাচার ভাই ভাই
aggressive,আওয়ামীলীগের ঘরে ঘরে রয়েছে এমন পাপিয়া।কারো বালও ছিঁড়তে পারবেনা পুলিশ।কারণ পাপিয়ার খদ্দের রা সব আওয়ামীলীগের শীর্ষ নেতা।এমপি মন্ত্রী।
aggressive,কিরে ভোদামারানীরপোলা শালা হিজড়া
aggressive,নির্বাচন কমিশনের আওয়ামী লীগের দালাল নির্মূল চাই নিরপেক্ষ নির্দলীয় সরকারের অধীনে নির্বাচনের চাই
aggressive,"প্রশাসনের মধ্যে থাকা শেখ হাসিনার রক্ষি বাহিনীর হাতে, সেনাবাহিনী থেকে শুরু করে সাধারণ মানুষ কেউই নিরাপদ নয়, তাই শেখ হাসিনার পতন এখন সময়ের দাবি হয়ে দাঁড়িয়েছে, অন্যথায় জাতিকে চরম মুল্য দিতে হবে,"
aggressive,ভুল করেও আওয়ামিলীগকে রাজাকার বলবেন না ওরা যেদিন থেকে আতংকলীগে যোগদান করেছে সেদিন থেকে ওরা ধোঁয়া তুলসীপাতা লীগ হয়ে গেছে👍মুক্তিযুদ্ধের সময় শেষ মুজিবের সপরিবারে নীল নকশা করে যারা মুজিব পরিবারকে হত্যা করেছে তারাই এখন আওয়ামিলীগের মাথা
aggressive,"তোমরা যে মুর্খ, অসভ্য~ তা তো দুনিয়া জানে, তাই সারা বিশ্বে বাশ চলছে ~ বাশ! 😃 অবশ্য আল্লাহ মনে হয় তোমাদের লজ্জার গোড়ায় #মোহর মেরে দিয়েছিলো, তাই বিনা যুক্তিতে ঘেউ ঘেউ করতে থাকো আর আরো বেশী হাসির খোরাক হচ্ছো! 😄"
aggressive,যেখানেই ধর্ষন যেখানেই চাদাবাজী যেখানেই অপকর্ম সেখানেই আওয়ামীলিগ যুবলীগ ছাত্র লীগ
aggressive,মন্দির মানেই ত অপবিত্র
aggressive,হিন্দুরা জাতিগত ভাবে যৌন অক্ষম জাতি ও টাকার লোভী। তাই হিন্দু মেয়েরা মুসলমান ছেলে দেখলে ঝাপিয়ে পড়ে। তাই লাভ জিহাদ বন্ধ হবে না
aggressive,আল্লাচুদা মাল্লু নিজের চোখেই দেখে নে
aggressive,ইসলাম মানবতা স্হাপন করেছে কাফের হিন্দু হত্যা করে।REPLY
aggressive,"আপনার আম্লীগ সরকার দেশ কে সিঙ্গাপুর বানিয়েছে সে খানে ইলিয়াস ভাই চাউল না দিলেও সমস্যা নেই, তবে সমস্যা হল আপনাদের মত লোকদের মনে, যারা নিজেতো অন্য করে আর সাথে আরও লোককে করায়, এদের বিরুদ্ধে হক্ক কথা বললেই দোষ তাই না."
aggressive,শালাকে এনকাউন্টার করা হোক
aggressive,জাকির নায়েক নামি কুত্তার বাচ্চার বক্তব্য কেউ শুনবেন না
aggressive,"ভালো মুসলমান ভালো মানুষ হতে পারেনা আর ভালো মানুষ ভালো মুসলমান হতে পারে না,কারণ হুবহু কোরান মানলে ভালো মুসলমান হোয়া যায় কিন্তু ভালো মানুষ হোয়া যায়না,আবার কোরান হুবহু না মানলে ভালো মানুষ হবে কিন্ত ভালো মুসলমান হবেনা।"
aggressive,তোর দেবীরে চুদে বাচ্চা বানাইয়া দিমু...
aggressive,"এটা কি হলো, তাদের কালি কে # দারুন শাড়ী পড়ে একটি দলা সুন্দরী এভাবে টোল করছেআর চেচামেচি করছেআর কালী দীদী হা করে তাকিয়ে আছেতার মানে ইনি কালি দিদির বড় কালী দিদি আকাশ ভরা তারা হোগামারা সারা"
aggressive,"শেখ হাসিনা ক্ষমতায় আসার পর ফজলুল হকের সমস্ত কৃতিত্ব মুজিবের নামে লাগিয়ে দেয়,, এবং বর্তমান যামানার লোকদের কাছে আসল সত্য গোপন করে,,দেশ স্বাধীন হওয়ার আগে ফজলুল হকের কাছে ক্ষমা চেয়ে জনগণের কাছে সাধু সাজে,, স্বাধীন হওয়ার পর শেখ মুজিব যখন ক্ষমতায় বসে,, তখন আবারো তার অতীতের রূপ জনগণের সামনে ভেসে ওঠে,,, শেখ মুজিব রক্ষী বাহিনী দিয়ে গোটা দেশের জনগণকে জিম্মি করে ফেলে,, মা-বোনদের ইজ্জত হরণ সহ লুটপাট দুর্নীতিতে গোটা দেশ অন্ধকারাচ্ছন্ন করে ফেলে,,, যার কারণে ৭৪ রে দেখা দেয় বড় ধরনের দুর্ভিক্ষ,,, যে দুর্ভিক্ষে বহু মানুষ মারা যায়,,শেখ মুজিবের কর্মকাণ্ডে সারাদেশের মানুষ অতিষ্ঠ হয়ে পড়ে,, যার কারণে দেশের সাধারণ জনগণ শেখ মুজিবের বিপক্ষে চলে যায়,,, এবং একসময় বাধ্য হয় শেখ মুজিবের বংশকে নির্বংশ করার জন্য,,,, কিন্তু ভাগ্যক্রমে বেঁচে যায় শেখ হাসিনা এবং শেখ রেহেনা,,,যার কারণে দেশের মানুষ এখন হাড়ে হাড়ে টের পাচ্ছে"
aggressive,শোন ফত ফত ফতেমা তোদের বাল্লাহ ধবির মাদার কে খুঁজছি। চুদান হাগিস লেখার দোষে ওকে কালীঘাটে বসাবো। যেন ও আর লোককে কুড়ানো হাগিস পরিয়ে মাথা চেটে মুছলিম বানাতে না পারে।
aggressive,"এই সব চীৎকার চেঁচামেচিতে কোন কাজ হবে না। সবাই হাতে লাঠি লও, হকি স্টিক লও, লোহার রড হাতে লও। শুধু পিটাও, পিটাও, শুধু পিটাও। পুলিশকে পিটাও, আওয়ামী দালালদের পিটাও, ভারতীয় দালালদের পিটাও"
aggressive,"কুকুরসন্তান শুনুন, আপনি আপয়ানার ৪০ দিনের সনাতন নিয়ে ভাগুন। কারন ৪০ দিনের সনাতন, আমার ইসলামের কাছে এটে উঠতে পারবে না। কারণ মনে রাখবেন, ইসলাম হচ্ছে আল্লাহ কর্তৃক নির্ধারিত ধর্ম।"
aggressive,হাসিনা সবচাইতে বেশী উন্নয়ন করেছে ধর্ষনের। তারপর গুম খুন টাকা পাচার।
aggressive,কুত্তার বাচ্চা শিবের কাটা নুনুর পুজারী! তোরা যা করিস তা তোদের রেন্ডি ধর্মে নিষিদ্ধ। নিচে দেখ বেজন্মা বেহায়া বেশ্যা অবৈধ জাতি
aggressive,মাঙ্গির পুত
aggressive,"বান্দির বাচ্চা,,,পেরিত চুদাও ।ব্যবসা নটি মেয়ের জন্য। কাংকির পুত"
